record_id,section_code,section_name,nfa_status,manufacturer_or_make,model,caliber_or_gauge,serial_number_range,date_or_year_range,atf_classification_details,first_published_edition,latest_published_edition,in_2025_publication,in_2018_publication,in_2007_publication,full_raw_entry
CR-SectionII-0001,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),A.H. Fox,,,,,"Double barrel shotguns, all gauges, all grades, mfd. By Ansley H. Fox, Philadelphia, PA, and Savage Arms, Utica, NY, from approx. 1907 - 1947.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"A.H. Fox, Double barrel shotguns, all gauges, all grades, mfd. By Ansley H. Fox, Philadelphia, PA, and Savage Arms, Utica, NY, from approx. 1907 - 1947."
CR-SectionII-0002,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),A.H. Fox,,,,from approx. 1907 to 1947,"Double barrel shotguns, all gauges, all grades, mfd. by Ansley H. Fox, Philadelphia, PA, and Savage Arms, Utica, NY, from approx. 1907 to 1947.",ATF C&R List (Jan 1972 - Apr 2025),ATF C&R List (Jan 1972 - Apr 2025),TRUE,FALSE,FALSE,"A.H. Fox, Double barrel shotguns, all gauges, all grades, mfd. by Ansley H. Fox, Philadelphia, PA, and Savage Arms, Utica, NY, from approx. 1907 to 1947."
CR-SectionII-0003,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Albanian,SKS,cal. 7.62 x 39,,from 1964 to 1978,"SKS semiautomatic rifles, cal. 7.62 x 39, manufactured in Albania from 1964 to 1978.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Albanian SKS semiautomatic rifles, cal. 7.62 x 39, manufactured in Albania from 1964 to 1978."
CR-SectionII-0004,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Albanian,SKS,caliber 7.62 x 39,,from 1964 to 1978,"SKS semiautomatic rifles, caliber 7.62 x 39, manufactured in Albania from 1964 to 1978.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"Albanian SKS semiautomatic rifles, caliber 7.62 x 39, manufactured in Albania from 1964 to 1978."
CR-SectionII-0005,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Alkartasuna,,cal. .32.,,,"semiautomatic pistol, cal. .32.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Alkartasuna, semiautomatic pistol, cal. .32."
CR-SectionII-0006,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Alkartasuna,,caliber .32.,,,"semiautomatic pistol, caliber .32.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"Alkartasuna, semiautomatic pistol, caliber .32."
CR-SectionII-0007,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),All Original military bolt action and semiautomatic rifles mfd. between 1899 and 1946.,,,,mfd. between 1899,,ATF P 5300.11 (Dec 2007),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,TRUE,All Original military bolt action and semiautomatic rifles mfd. between 1899 and 1946.
CR-SectionII-0008,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),All properly marked and identified semiautomatic pistols and revolvers used by,,,,prior to 1946,"or mfd. for, any military organization prior to 1946.",ATF P 5300.11 (Dec 2007),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,TRUE,"All properly marked and identified semiautomatic pistols and revolvers used by, or mfd. for, any military organization prior to 1946."
CR-SectionII-0009,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),All shotguns,Model 1927,cal. 11.25mm,bearing S/Ns less than 24501,prior to 1946,"properly marked and identified as mfd. for any military organization prior to 1946 and in their original military configuration only. Argentine D.G.F.M. (FMAP) System Colt Model 1927 pistols, marked ""Ejercito Argentino"", bearing S/Ns less than 24501. Argentine D.G.F.M. - (F.M.A.P.) System Colt Model 1927, cal. 11.25mm, commercial variations.",ATF P 5300.11 (Dec 2007),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,TRUE,"All shotguns, properly marked and identified as mfd. for any military organization prior to 1946 and in their original military configuration only. Argentine D.G.F.M. (FMAP) System Colt Model 1927 pistols, marked ""Ejercito Argentino"", bearing S/Ns less than 24501. Argentine D.G.F.M. - (F.M.A.P.) System Colt Model 1927, cal. 11.25mm, commercial variations."
CR-SectionII-0010,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Armand Gevage,,cal.,,,"semiautomatic pistols, .32ACP cal. as mfd. in Belgium prior to World War II.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"Armand Gevage, semiautomatic pistols, .32ACP cal. as mfd. in Belgium prior to World War II."
